"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"500 BLOCK OF WEBSTER STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001003302"
"2600 BLOCK OF 18TH STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Exact","11001008804"
"62ND STREET NE & BANKS PLACE NE WASHINGTON, DC 20019 UNITED STATES","No_Match","",NA
"200 BLOCK OF L STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001004402"
"6500 BLOCK OF 1ST STREET NW WASHINGTON, DC 20012 UNITED STATES","Match","Non_Exact","11001002002"
"2100 BLOCK OF 18TH STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001007703"
"1700 BLOCK OF COLUMBIA ROAD NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001002503"
"3700-BLK 9TH ST DC, DC 20010 UNITED STATES","Match","Non_Exact","11001007808"
"200 BLOCK OF NEWCOMB STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007804"
"1900 BLOCK OF 14TH STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001008904"
"1500 BLOCK OF MONTANA AVENUE NE WASHINGTON, DC 20018 UNITED STATES","No_Match","",NA
"1500 BLOCK OF BENNING ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001009603"
"600 BLOCK OF GIRARD STREET NE WASHINGTON, DC 20017 UNITED STATES","Match","Non_Exact","11001002400"
"4600 BLOCK OF EAST CAPITOL STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007407"
"5100 BLOCK OF QUEEN'S STROLL PLACE SE WASHINGTON, DC 20019 UNITED STATES","Match","Exact","11001007808"
"2700 BLOCK OF WADE ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001010500"
"4100 BLOCK OF SOUTH CAPITOL TERRACE SW WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001001702"
"900 BLOCK OF QUINCY STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001004002"
